Uniprot-Accession,S2-Protein,0,3,5,7,9,11,13,15,E-value,Protein,Gene,Length,GO-BP,GO-IDs,Pathway,UniPathway,CDD,Pfam,GO-name
P29352,CHOYP_PTPRF.2.6|m.17540,1,0,0,0,0,0,0,0,4.00E-45,Tyrosine-protein phosphatase non-receptor type 22 (EC 3.1.3.48) (Hematopoietic cell protein-tyrosine phosphatase 70Z-PEP) (PEST-domain phosphatase) (PEP),Ptpn22 Ptpn8,802,"autophagy [GO:0006914]; cellular response to muramyl dipeptide [GO:0071225]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; negative regulation of autophagy [GO:0010507]; negative regulation of gene expression [GO:0010629]; negative regulation of interleukin-6 secretion [GO:1900165]; negative regulation of interleukin-8 secretion [GO:2000483]; negative regulation of JUN kinase activity [GO:0043508]; negative regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070433]; negative regulation of p38MAPK cascade [GO:1903753]; negative regulation of T cell activation [GO:0050868]; negative regulation of T cell receptor signaling pathway [GO:0050860]; negative regulation of tumor necrosis factor production [GO:0032720]; phosphoanandamide dephosphorylation [GO:0035644]; positive regulation of CD8-positive, alpha-beta T cell proliferation [GO:2000566]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of granzyme B production [GO:0071663]; positive regulation of interferon-alpha secretion [GO:1902741]; positive regulation of interferon-beta secretion [GO:0035549]; positive regulation of interferon-gamma secretion [GO:1902715]; positive regulation of protein K63-linked ubiquitination [GO:1902523]; positive regulation of toll-like receptor 3 signaling pathway [GO:0034141]; positive regulation of toll-like receptor 4 signaling pathway [GO:0034145]; positive regulation of toll-like receptor 7 signaling pathway [GO:0034157]; positive regulation of toll-like receptor 9 signaling pathway [GO:0034165]; positive regulation of transcription factor import into nucleus [GO:0042993]; positive regulation of type I interferon production [GO:0032481]; protein dephosphorylation [GO:0006470]; regulation of calcium ion transmembrane transport [GO:1903169]; regulation of leukocyte migration [GO:0002685]; regulation of natural killer cell proliferation [GO:0032817]; regulation of NIK/NF-kappaB signaling [GO:1901222]; regulation of peptidyl-tyrosine phosphorylation [GO:0050730]; response to lipopolysaccharide [GO:0032496]; T cell differentiation [GO:0030217]; T cell receptor signaling pathway [GO:0050852]",GO:0002230; GO:0002685; GO:0004725; GO:0005634; GO:0005737; GO:0006470; GO:0006914; GO:0009898; GO:0010507; GO:0010628; GO:0010629; GO:0016791; GO:0017124; GO:0019900; GO:0030217; GO:0031625; GO:0031663; GO:0032481; GO:0032496; GO:0032720; GO:0032817; GO:0034141; GO:0034145; GO:0034157; GO:0034165; GO:0035549; GO:0035644; GO:0042993; GO:0043508; GO:0048471; GO:0050730; GO:0050852; GO:0050860; GO:0050868; GO:0070374; GO:0070433; GO:0071225; GO:0071663; GO:1900165; GO:1901222; GO:1902523; GO:1902715; GO:1902741; GO:1903169; GO:1903753; GO:2000483; GO:2000566,,,,PF00102;,"cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; kinase binding [GO:0019900]; phosphatase activity [GO:0016791]; protein tyrosine phosphatase activity [GO:0004725]; SH3 domain binding [GO:0017124]; ubiquitin protein ligase binding [GO:0031625]; autophagy [GO:0006914]; cellular response to muramyl dipeptide [GO:0071225]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; negative regulation of autophagy [GO:0010507]; negative regulation of gene expression [GO:0010629]; negative regulation of interleukin-6 secretion [GO:1900165]; negative regulation of interleukin-8 secretion [GO:2000483]; negative regulation of JUN kinase activity [GO:0043508]; negative regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070433]; negative regulation of p38MAPK cascade [GO:1903753]; negative regulation of T cell activation [GO:0050868]; negative regulation of T cell receptor signaling pathway [GO:0050860]; negative regulation of tumor necrosis factor production [GO:0032720]; phosphoanandamide dephosphorylation [GO:0035644]; positive regulation of CD8-positive, alpha-beta T cell proliferation [GO:2000566]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of granzyme B production [GO:0071663]; positive regulation of interferon-alpha secretion [GO:1902741]; positive regulation of interferon-beta secretion [GO:0035549]; positive regulation of interferon-gamma secretion [GO:1902715]; positive regulation of protein K63-linked ubiquitination [GO:1902523]; positive regulation of toll-like receptor 3 signaling pathway [GO:0034141]; positive regulation of toll-like receptor 4 signaling pathway [GO:0034145]; positive regulation of toll-like receptor 7 signaling pathway [GO:0034157]; positive regulation of toll-like receptor 9 signaling pathway [GO:0034165]; positive regulation of transcription factor import into nucleus [GO:0042993]; positive regulation of type I interferon production [GO:0032481]; protein dephosphorylation [GO:0006470]; regulation of calcium ion transmembrane transport [GO:1903169]; regulation of leukocyte migration [GO:0002685]; regulation of natural killer cell proliferation [GO:0032817]; regulation of NIK/NF-kappaB signaling [GO:1901222]; regulation of peptidyl-tyrosine phosphorylation [GO:0050730]; response to lipopolysaccharide [GO:0032496]; T cell differentiation [GO:0030217]; T cell receptor signaling pathway [GO:0050852]"
F4JLS1,CHOYP_SORBIDRAFT_06G032450.1.1|m.16356,0,0,0,0,0,0,0,0,2.00E-33,Lysine-specific histone demethylase 1 homolog 3 (EC 1.-.-.-) (Flavin-containing amine oxidase domain-containing protein 3) (Protein LSD1-like 3),LDL3 At4g16310/At4g16320 dl4185w/dl4190w FCAALL.342/ FCAALL.344,1628,"covalent chromatin modification [GO:0016569]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]",GO:0003677; GO:0005634; GO:0006351; GO:0006355; GO:0016491; GO:0016569,,,,PF01593;PF04433;,"nucleus [GO:0005634]; DNA binding [GO:0003677]; oxidoreductase activity [GO:0016491]; covalent chromatin modification [GO:0016569]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]"
Q5RBZ3,CHOYP_WDR89.1.1|m.30861,0,0,0,0,0,0,0,0,1.00E-68,WD repeat-containing protein 89,WDR89,387,,,,,,PF00400;,
Q60542,CHOYP_ZEB2.1.1|m.29733,0.5,0,0,0,0,0,0,0,0.000000002,Zinc finger E-box-binding homeobox 1 (Transcription factor 8) (TCF-8) (Zinc finger protein BZP),ZEB1 BZP TCF8,1043,"negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of neuron differentiation [GO:0045666]; transcription, DNA-templated [GO:0006351]",GO:0005634; GO:0006351; GO:0045666; GO:0045892; GO:0046872; GO:0070888,,,,PF00046;PF05605;,"nucleus [GO:0005634]; E-box binding [GO:0070888]; metal ion binding [GO:0046872]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of neuron differentiation [GO:0045666]; transcription, DNA-templated [GO:0006351]"
Q5UNS9,CHOYP_contig_025639|m.29255,0,0,0,0,0,0,0,0,7.00E-54,Collagen-like protein 7,MIMI_L669,1937,,GO:0019012,,,,PF01391;,virion [GO:0019012]
P15287,CHOYP_AGSA.1.1|m.5200,0,0,0,0,0,0,0,0,3.00E-55,Adenosine deaminase AGSA (EC 3.5.4.4) (Atrial gland-specific antigen) (AGSA) (Mollusk-derived growth factor) (MDGF),,525,,GO:0004000; GO:0005615; GO:0046872,,,,PF00962;PF08451;,extracellular space [GO:0005615]; adenosine deaminase activity [GO:0004000]; metal ion binding [GO:0046872]
P36956,CHOYP_BRAFLDRAFT_117231.1.1|m.4966,0,0,0,0,0,0,0,0,0,Sterol regulatory element-binding protein 1 (SREBP-1) (Class D basic helix-loop-helix protein 1) (bHLHd1) (Sterol regulatory element-binding transcription factor 1) [Cleaved into: Processed sterol regulatory element-binding protein 1],SREBF1 BHLHD1 SREBP1,1147,aging [GO:0007568]; cellular response to fatty acid [GO:0071398]; cellular response to starvation [GO:0009267]; cholesterol metabolic process [GO:0008203]; circadian rhythm [GO:0007623]; fat cell differentiation [GO:0045444]; insulin receptor signaling pathway [GO:0008286]; lipid biosynthetic process [GO:0008610]; lipid metabolic process [GO:0006629]; lung development [GO:0030324]; mRNA transcription from RNA polymerase II promoter [GO:0042789]; negative regulation of insulin secretion [GO:0046676]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of cholesterol biosynthetic process [GO:0045542]; positive regulation of histone deacetylation [GO:0031065]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of triglyceride biosynthetic process [GO:0010867]; regulation of fatty acid metabolic process [GO:0019217]; regulation of heart rate by chemical signal [GO:0003062]; regulation of mitophagy [GO:1903146]; regulation of protein stability [GO:0031647]; regulation of protein targeting to mitochondrion [GO:1903214]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; response to cAMP [GO:0051591]; response to drug [GO:0042493]; response to food [GO:0032094]; response to glucagon [GO:0033762]; response to glucose [GO:0009749]; response to progesterone [GO:0032570]; response to retinoic acid [GO:0032526],GO:0000122; GO:0000139; GO:0000977; GO:0000978; GO:0001077; GO:0003062; GO:0003677; GO:0003682; GO:0003700; GO:0004879; GO:0005634; GO:0005635; GO:0005654; GO:0005737; GO:0005783; GO:0005789; GO:0005829; GO:0006357; GO:0006629; GO:0007568; GO:0007623; GO:0008203; GO:0008286; GO:0008610; GO:0009267; GO:0009749; GO:0010867; GO:0012507; GO:0016021; GO:0019217; GO:0030324; GO:0031065; GO:0031647; GO:0032094; GO:0032526; GO:0032570; GO:0032810; GO:0033762; GO:0042493; GO:0042789; GO:0043234; GO:0045444; GO:0045542; GO:0045944; GO:0046676; GO:0051591; GO:0071398; GO:1903146; GO:1903214,,,,PF00010;,"cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; ER to Golgi transport vesicle membrane [GO:0012507]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; nuclear envelope [GO:0005635]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein complex [GO:0043234]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding [GO:0004879]; sterol response element binding [GO:0032810]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001077]; aging [GO:0007568]; cellular response to fatty acid [GO:0071398]; cellular response to starvation [GO:0009267]; cholesterol metabolic process [GO:0008203]; circadian rhythm [GO:0007623]; fat cell differentiation [GO:0045444]; insulin receptor signaling pathway [GO:0008286]; lipid biosynthetic process [GO:0008610]; lipid metabolic process [GO:0006629]; lung development [GO:0030324]; mRNA transcription from RNA polymerase II promoter [GO:0042789]; negative regulation of insulin secretion [GO:0046676]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of cholesterol biosynthetic process [GO:0045542]; positive regulation of histone deacetylation [GO:0031065]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of triglyceride biosynthetic process [GO:0010867]; regulation of fatty acid metabolic process [GO:0019217]; regulation of heart rate by chemical signal [GO:0003062]; regulation of mitophagy [GO:1903146]; regulation of protein stability [GO:0031647]; regulation of protein targeting to mitochondrion [GO:1903214]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; response to cAMP [GO:0051591]; response to drug [GO:0042493]; response to food [GO:0032094]; response to glucagon [GO:0033762]; response to glucose [GO:0009749]; response to progesterone [GO:0032570]; response to retinoic acid [GO:0032526]"
Q9NZJ4,CHOYP_BRAFLDRAFT_118535.8.8|m.61819,1,0,0,0,0,0,0,0,0,Sacsin (DnaJ homolog subfamily C member 29) (DNAJC29),SACS KIAA0730,4579,negative regulation of inclusion body assembly [GO:0090084]; protein folding [GO:0006457],GO:0005634; GO:0005737; GO:0005739; GO:0006457; GO:0030424; GO:0030425; GO:0030544; GO:0051087; GO:0070628; GO:0070852; GO:0090084,,,,PF05168;PF00240;,axon [GO:0030424]; cell body fiber [GO:0070852]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; chaperone binding [GO:0051087]; Hsp70 protein binding [GO:0030544]; proteasome binding [GO:0070628]; negative regulation of inclusion body assembly [GO:0090084]; protein folding [GO:0006457]
A0JNH9,CHOYP_BRAFLDRAFT_122376.1.1|m.49446,0,0,0,0,0,0,0,0,0.000000008,Aprataxin and PNK-like factor (EC 4.2.99.18) (Apurinic-apyrimidinic endonuclease APLF),APLF,485,cellular response to DNA damage stimulus [GO:0006974]; double-strand break repair [GO:0006302]; single strand break repair [GO:0000012],GO:0000012; GO:0000166; GO:0003906; GO:0004520; GO:0005634; GO:0005829; GO:0006302; GO:0006974; GO:0008408; GO:0046872,,,,PF10283;,cytosol [GO:0005829]; nucleus [GO:0005634]; 3'-5' exonuclease activity [GO:0008408]; DNA-(apurinic or apyrimidinic site) lyase activity [GO:0003906]; endodeoxyribonuclease activity [GO:0004520]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; cellular response to DNA damage stimulus [GO:0006974]; double-strand break repair [GO:0006302]; single strand break repair [GO:0000012]
B3EWY9,CHOYP_BRAFLDRAFT_129967.1.4|m.4020,0,0,0,0,0,0,0,0,2.00E-104,Mucin-like protein (Fragment),,1594,cell-matrix adhesion [GO:0007160],GO:0005509; GO:0007160; GO:0016021,,,,PF12662;PF06119;PF00090;PF00094;,integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; cell-matrix adhesion [GO:0007160]
Q96IG2,CHOYP_BRAFLDRAFT_74861.1.1|m.16599,0,0,0,0,0,0,0,0,4.00E-11,F-box/LRR-repeat protein 20 (F-box and leucine-rich repeat protein 20) (F-box/LRR-repeat protein 2-like),FBXL20 FBL2,436,behavioral fear response [GO:0001662]; protein polyubiquitination [GO:0000209],GO:0000209; GO:0001662; GO:0004842; GO:0005829,,,,PF12937;PF13516;,cytosol [GO:0005829]; ubiquitin-protein transferase activity [GO:0004842]; behavioral fear response [GO:0001662]; protein polyubiquitination [GO:0000209]
B3EWY9,CHOYP_BRAFLDRAFT_92365.3.3|m.51160,0,0,0,0,0,0,0,0,6.00E-47,Mucin-like protein (Fragment),,1594,cell-matrix adhesion [GO:0007160],GO:0005509; GO:0007160; GO:0016021,,,,PF12662;PF06119;PF00090;PF00094;,integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; cell-matrix adhesion [GO:0007160]
A1A4R8,CHOYP_CDC23.1.1|m.6463,0,0,0,0,0,0,0,0,0,Cell division cycle protein 23 homolog (Anaphase-promoting complex subunit 8) (APC8) (Cyclosome subunit 8),CDC23 ANAPC8,597,cell division [GO:0051301]; mitotic metaphase plate congression [GO:0007080]; protein K11-linked ubiquitination [GO:0070979]; regulation of mitotic metaphase/anaphase transition [GO:0030071],GO:0005680; GO:0007080; GO:0030071; GO:0051301; GO:0070979,PATHWAY: Protein modification; protein ubiquitination.,,,PF04049;PF13414;PF13181;,anaphase-promoting complex [GO:0005680]; cell division [GO:0051301]; mitotic metaphase plate congression [GO:0007080]; protein K11-linked ubiquitination [GO:0070979]; regulation of mitotic metaphase/anaphase transition [GO:0030071]
A2AJ76,CHOYP_CRE-UNC-89.3.3|m.61234,0,0,0,0,0,0,0,0,0.0000002,Hemicentin-2,Hmcn2,5100,positive regulation of cell migration [GO:0030335]; response to stimulus [GO:0050896]; smooth muscle contraction [GO:0006939],GO:0005509; GO:0005576; GO:0005604; GO:0005938; GO:0006939; GO:0030054; GO:0030335; GO:0032154; GO:0050896,,,,PF12662;PF07645;PF07474;PF07679;,basement membrane [GO:0005604]; cell cortex [GO:0005938]; cell junction [GO:0030054]; cleavage furrow [GO:0032154]; extracellular region [GO:0005576]; calcium ion binding [GO:0005509]; positive regulation of cell migration [GO:0030335]; response to stimulus [GO:0050896]; smooth muscle contraction [GO:0006939]
Q0UI93,CHOYP_IFIH1.4.14|m.40815,0,0,0,0,0,0,0,0,2.00E-14,Dicer-like protein 1 [Includes: Endoribonuclease DCL1 (EC 3.1.26.-); ATP-dependent helicase DCL1 (EC 3.6.4.-)],DCL1 SNOG_08521,1522,defense response to virus [GO:0051607]; production of siRNA involved in RNA interference [GO:0030422]; regulation of defense response to virus [GO:0050688],GO:0003677; GO:0003723; GO:0004386; GO:0004525; GO:0005524; GO:0005634; GO:0005737; GO:0016442; GO:0030422; GO:0046872; GO:0050688; GO:0051607,,,cd00593;,PF03368;PF00271;PF04851;PF00636;,cytoplasm [GO:0005737]; nucleus [GO:0005634]; RISC complex [GO:0016442]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; metal ion binding [GO:0046872]; ribonuclease III activity [GO:0004525]; RNA binding [GO:0003723]; defense response to virus [GO:0051607]; production of siRNA involved in RNA interference [GO:0030422]; regulation of defense response to virus [GO:0050688]
Q5RH71,CHOYP_LOC100162380.1.1|m.23942,0,0,0,0,0,0,0,0,6.00E-48,Tetraspanin-33 (Tspan-33),tspan33 zgc:92266,281,cell surface receptor signaling pathway [GO:0007166],GO:0005887; GO:0007166,,,,PF00335;,integral component of plasma membrane [GO:0005887]; cell surface receptor signaling pathway [GO:0007166]
P18293,CHOYP_LOC100197876.1.1|m.45271,0.5,0,0,0,0,0,0,0,3.00E-153,Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A),Npr1 Npra,1057,cGMP biosynthetic process [GO:0006182]; dopamine metabolic process [GO:0042417]; intracellular signal transduction [GO:0035556]; negative regulation of smooth muscle cell proliferation [GO:0048662]; positive regulation of cGMP biosynthetic process [GO:0030828]; receptor guanylyl cyclase signaling pathway [GO:0007168]; regulation of blood vessel size [GO:0050880],GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0005886; GO:0006182; GO:0007168; GO:0008074; GO:0016021; GO:0016941; GO:0017046; GO:0030828; GO:0035556; GO:0042417; GO:0042562; GO:0043235; GO:0048662; GO:0050880,,,,PF01094;PF00211;PF07714;,"guanylate cyclase complex, soluble [GO:0008074]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; guanylate cyclase activity [GO:0004383]; hormone binding [GO:0042562]; natriuretic peptide receptor activity [GO:0016941]; peptide hormone binding [GO:0017046]; protein kinase activity [GO:0004672]; cGMP biosynthetic process [GO:0006182]; dopamine metabolic process [GO:0042417]; intracellular signal transduction [GO:0035556]; negative regulation of smooth muscle cell proliferation [GO:0048662]; positive regulation of cGMP biosynthetic process [GO:0030828]; receptor guanylyl cyclase signaling pathway [GO:0007168]; regulation of blood vessel size [GO:0050880]"
P18433,CHOYP_LOC100208023.1.8|m.8628,0,0,0,0,0,0,0,0,1.00E-72,Receptor-type tyrosine-protein phosphatase alpha (Protein-tyrosine phosphatase alpha) (R-PTP-alpha) (EC 3.1.3.48),PTPRA PTPA PTPRL2,802,axon guidance [GO:0007411]; insulin receptor signaling pathway [GO:0008286]; MAPK cascade [GO:0000165],GO:0000165; GO:0004725; GO:0005001; GO:0005088; GO:0005622; GO:0005886; GO:0005887; GO:0007411; GO:0008286; GO:0043235; GO:0070062,,,,PF00102;,extracellular exosome [GO:0070062]; integral component of plasma membrane [GO:0005887]; intracellular [GO:0005622]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; protein tyrosine phosphatase activity [GO:0004725]; Ras guanyl-nucleotide exchange factor activity [GO:0005088]; transmembrane receptor protein tyrosine phosphatase activity [GO:0005001]; axon guidance [GO:0007411]; insulin receptor signaling pathway [GO:0008286]; MAPK cascade [GO:0000165]
Q9JM83,CHOYP_LOC100261610.1.1|m.6374,1.5,0,0,0,0,0,0,0,1.00E-15,Calmodulin-4 (Calcium-binding protein Dd112),Calm4 Dd112,148,,GO:0005509; GO:0070062,,,cd00051;,PF13499;,extracellular exosome [GO:0070062]; calcium ion binding [GO:0005509]
Q8BTK5,CHOYP_LOC100372698.1.1|m.18674,0,0,0,0,0,0,0,0,2.00E-51,SET and MYND domain-containing protein 4 (EC 2.1.1.-),Smyd4 Kiaa1936,799,,GO:0008168; GO:0046872,,,,PF00856;PF01753;,metal ion binding [GO:0046872]; methyltransferase activity [GO:0008168]
Q7K4Y6,CHOYP_LOC100375514.4.6|m.41109,0,0,0,0,0,0,0,0,3.00E-172,Sodium-dependent dopamine transporter (Protein fumin),DAT fmn CG8380,631,adult locomotory behavior [GO:0008344]; circadian sleep/wake cycle [GO:0042745]; dopamine transport [GO:0015872]; regulation of presynaptic cytosolic calcium ion concentration [GO:0099509]; response to odorant [GO:1990834]; sleep [GO:0030431],GO:0005328; GO:0005329; GO:0005887; GO:0008344; GO:0015872; GO:0019811; GO:0030431; GO:0042745; GO:0046872; GO:0098793; GO:0099509; GO:1990834,,,,PF00209;,integral component of plasma membrane [GO:0005887]; presynapse [GO:0098793]; cocaine binding [GO:0019811]; dopamine transmembrane transporter activity [GO:0005329]; metal ion binding [GO:0046872]; neurotransmitter:sodium symporter activity [GO:0005328]; adult locomotory behavior [GO:0008344]; circadian sleep/wake cycle [GO:0042745]; dopamine transport [GO:0015872]; regulation of presynaptic cytosolic calcium ion concentration [GO:0099509]; response to odorant [GO:1990834]; sleep [GO:0030431]
P23469,CHOYP_LOC100890753.2.3|m.53551,0,0,0,0,0,0,0,0,7.00E-74,Receptor-type tyrosine-protein phosphatase epsilon (Protein-tyrosine phosphatase epsilon) (R-PTP-epsilon) (EC 3.1.3.48),PTPRE,700,negative regulation of insulin receptor signaling pathway [GO:0046627]; protein dephosphorylation [GO:0006470]; regulation of mast cell activation [GO:0033003]; transmembrane receptor protein tyrosine phosphatase signaling pathway [GO:0007185],GO:0005001; GO:0005634; GO:0005737; GO:0005886; GO:0006470; GO:0007185; GO:0016021; GO:0033003; GO:0046627,,,,PF00102;,cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; transmembrane receptor protein tyrosine phosphatase activity [GO:0005001]; negative regulation of insulin receptor signaling pathway [GO:0046627]; protein dephosphorylation [GO:0006470]; regulation of mast cell activation [GO:0033003]; transmembrane receptor protein tyrosine phosphatase signaling pathway [GO:0007185]
Q8N841,CHOYP_LOC660482.1.1|m.8222,0,0,0,0,0,0,0,0,1.00E-21,Tubulin polyglutamylase TTLL6 (EC 6.-.-.-) (Tubulin--tyrosine ligase-like protein 6),TTLL6 TTL.6,843,microtubule bundle formation [GO:0001578]; microtubule severing [GO:0051013]; positive regulation of cilium movement [GO:0003353]; protein polyglutamylation [GO:0018095],GO:0001578; GO:0003353; GO:0005524; GO:0005737; GO:0005874; GO:0015631; GO:0018095; GO:0036064; GO:0051013; GO:0070739,,,,PF03133;,ciliary basal body [GO:0036064]; cytoplasm [GO:0005737]; microtubule [GO:0005874]; ATP binding [GO:0005524]; protein-glutamic acid ligase activity [GO:0070739]; tubulin binding [GO:0015631]; microtubule bundle formation [GO:0001578]; microtubule severing [GO:0051013]; positive regulation of cilium movement [GO:0003353]; protein polyglutamylation [GO:0018095]
O43614,CHOYP_LOC762961.3.5|m.46330,0.5,0,0,0,0,0,0,0,8.00E-25,Orexin receptor type 2 (Ox-2-R) (Ox2-R) (Ox2R) (Hypocretin receptor type 2),HCRTR2,444,"cellular response to hormone stimulus [GO:0032870]; chemical synaptic transmission [GO:0007268]; circadian sleep/wake cycle process [GO:0022410]; feeding behavior [GO:0007631]; neuropeptide signaling pathway [GO:0007218]; phospholipase C-activating G-protein coupled receptor signaling pathway [GO:0007200]; regulation of circadian sleep/wake cycle, sleep [GO:0045187]; regulation of circadian sleep/wake cycle, wakefulness [GO:0010840]; regulation of cytosolic calcium ion concentration [GO:0051480]; response to peptide [GO:1901652]",GO:0005886; GO:0005887; GO:0007200; GO:0007218; GO:0007268; GO:0007631; GO:0008188; GO:0010840; GO:0016499; GO:0017046; GO:0022410; GO:0032870; GO:0042277; GO:0045187; GO:0051480; GO:1901652,,,,PF00001;PF03827;,"integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; neuropeptide receptor activity [GO:0008188]; orexin receptor activity [GO:0016499]; peptide binding [GO:0042277]; peptide hormone binding [GO:0017046]; cellular response to hormone stimulus [GO:0032870]; chemical synaptic transmission [GO:0007268]; circadian sleep/wake cycle process [GO:0022410]; feeding behavior [GO:0007631]; neuropeptide signaling pathway [GO:0007218]; phospholipase C-activating G-protein coupled receptor signaling pathway [GO:0007200]; regulation of circadian sleep/wake cycle, sleep [GO:0045187]; regulation of circadian sleep/wake cycle, wakefulness [GO:0010840]; regulation of cytosolic calcium ion concentration [GO:0051480]; response to peptide [GO:1901652]"
Q62925,CHOYP_M3K1.1.1|m.7202,0,0,0,0,0,0,0,0,8.00E-119,Mitogen-activated protein kinase kinase kinase 1 (EC 2.7.11.25) (MAPK/ERK kinase kinase 1) (MEK kinase 1) (MEKK 1),Map3k1 Mekk Mekk1,1493,activation of JNKK activity [GO:0007256]; activation of MAPKK activity [GO:0000186]; MAPK cascade [GO:0000165]; negative regulation of actin filament bundle assembly [GO:0032232]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of apoptotic process [GO:0043065]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of viral transcription [GO:0050434]; protein autophosphorylation [GO:0046777]; protein oligomerization [GO:0051259]; protein phosphorylation [GO:0006468]; protein polyubiquitination [GO:0000209]; protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0042787]; response to osmotic stress [GO:0006970],GO:0000165; GO:0000186; GO:0000209; GO:0004706; GO:0004709; GO:0004842; GO:0005524; GO:0005737; GO:0006468; GO:0006970; GO:0007256; GO:0008270; GO:0008432; GO:0016020; GO:0018105; GO:0031434; GO:0032232; GO:0042787; GO:0043065; GO:0043406; GO:0043507; GO:0045944; GO:0046625; GO:0046777; GO:0050434; GO:0051019; GO:0051259,,,,PF00069;,cytoplasm [GO:0005737]; membrane [GO:0016020]; ATP binding [GO:0005524]; JUN kinase binding [GO:0008432]; JUN kinase kinase kinase activity [GO:0004706]; MAP kinase kinase kinase activity [GO:0004709]; mitogen-activated protein kinase binding [GO:0051019]; mitogen-activated protein kinase kinase binding [GO:0031434]; sphingolipid binding [GO:0046625]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; activation of JNKK activity [GO:0007256]; activation of MAPKK activity [GO:0000186]; MAPK cascade [GO:0000165]; negative regulation of actin filament bundle assembly [GO:0032232]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of apoptotic process [GO:0043065]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of viral transcription [GO:0050434]; protein autophosphorylation [GO:0046777]; protein oligomerization [GO:0051259]; protein phosphorylation [GO:0006468]; protein polyubiquitination [GO:0000209]; protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0042787]; response to osmotic stress [GO:0006970]
