Uniprot-Accession,S3-Protein,0,3,5,7,9,11,13,15,E-value,Protein,Gene,Length,GO-BP,GO-IDs,Pathway,UniPathway,CDD,Pfam,GO-names
P07291,CHOYP_HNRPR.1.2|m.44126,0,0,0,0,0,0,0,0,8.00E-62,"Myosin essential light chain, striated adductor muscle (E-LC) (Sulfhydryl light chain) (SHLC)",,157,,GO:0005509; GO:0016459,,,cd00051;,PF13499;,myosin complex [GO:0016459]; calcium ion binding [GO:0005509]
P86221,CHOYP_LOC100366486.1.1|m.15010,1.5,0,0,0,0,0,0,0,4.00E-104,Tubulin beta-4B chain (Tubulin beta-2C chain) (Fragments),TUBB4B TUBB2C,290,microtubule-based process [GO:0007017],GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017,,,,PF00091;,cytoplasm [GO:0005737]; microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]
Q92113,CHOYP_LOC100367956.2.2|m.62044,0,0,0,0,0,0,0,0,1.00E-62,"Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC 1.14.14.32) (17-alpha-hydroxyprogesterone aldolase) (CYPXVII) (Cytochrome P450 17A1) (Cytochrome P450-C17) (Cytochrome P450c17)",CYP17A1 CYP17,509,sex differentiation [GO:0007548]; steroid biosynthetic process [GO:0006694],GO:0004508; GO:0005506; GO:0006694; GO:0007548; GO:0016020; GO:0020037; GO:0047442,PATHWAY: Lipid metabolism; steroid biosynthesis.,,,PF00067;,membrane [GO:0016020]; 17-alpha-hydroxyprogesterone aldolase activity [GO:0047442]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; steroid 17-alpha-monooxygenase activity [GO:0004508]; sex differentiation [GO:0007548]; steroid biosynthetic process [GO:0006694]
Q5XJ13,CHOYP_LOC100371435.1.1|m.6503,1,0,0,0,0,0,0,0,3.00E-11,Ankyrin repeat and SAM domain-containing protein 6 (Ankyrin repeat domain-containing protein 14) (SamCystin) (Sterile alpha motif domain-containing protein 6) (SAM domain-containing protein 6),anks6 samd6 zgc:85964,739,pronephros development [GO:0048793],GO:0005929; GO:0048793,,,,PF12796;PF00536;,cilium [GO:0005929]; pronephros development [GO:0048793]
Q09654,CHOYP_LOC100374741.13.83|m.17527,0,0,0,0,0,0,0,0,0.0000003,E3 ubiquitin-protein ligase arc-1 (EC 2.3.2.27) (Putative GTP-binding protein trim-23 homolog) (RING-type E3 ubiquitin transferase arc-1),arc-1 arl-4 ZK1320.6,539,protein ubiquitination [GO:0016567]; small GTPase mediated signal transduction [GO:0007264],GO:0005525; GO:0005622; GO:0007264; GO:0008270; GO:0016567; GO:0016740,PATHWAY: Protein modification; protein ubiquitination.,,,PF00025;PF00643;PF13445;,intracellular [GO:0005622]; GTP binding [GO:0005525]; transferase activity [GO:0016740]; zinc ion binding [GO:0008270]; protein ubiquitination [GO:0016567]; small GTPase mediated signal transduction [GO:0007264]
Q80Y83,CHOYP_LOC100377347.1.1|m.11235,0.5,0,0,0,0,0,0,0,1.00E-112,Dixin (Coiled-coil protein DIX1) (Coiled-coil-DIX1) (DIX domain-containing protein 1),Dixdc1 Ccd1 Kiaa1735,711,canonical Wnt signaling pathway [GO:0060070]; cell cycle [GO:0007049]; cell proliferation in forebrain [GO:0021846]; cerebral cortex cell migration [GO:0021795]; cerebral cortex radially oriented cell migration [GO:0021799]; forebrain ventricular zone progenitor cell division [GO:0021869]; negative regulation of neuron differentiation [GO:0045665]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of Wnt signaling pathway [GO:0030177]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of microtubule cytoskeleton organization [GO:0070507],GO:0005829; GO:0005925; GO:0007049; GO:0019904; GO:0021795; GO:0021799; GO:0021846; GO:0021869; GO:0030177; GO:0032956; GO:0043015; GO:0045665; GO:0060070; GO:0070507; GO:0090263,,,cd00014;,PF00307;PF00778;,cytosol [GO:0005829]; focal adhesion [GO:0005925]; gamma-tubulin binding [GO:0043015]; protein domain specific binding [GO:0019904]; canonical Wnt signaling pathway [GO:0060070]; cell cycle [GO:0007049]; cell proliferation in forebrain [GO:0021846]; cerebral cortex cell migration [GO:0021795]; cerebral cortex radially oriented cell migration [GO:0021799]; forebrain ventricular zone progenitor cell division [GO:0021869]; negative regulation of neuron differentiation [GO:0045665]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of Wnt signaling pathway [GO:0030177]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of microtubule cytoskeleton organization [GO:0070507]
P30170,CHOYP_LOC100533357.1.2|m.56849,0,0,0,0,0,0,0,0,2.00E-78,Actin-85C (Fragment),AC85C,195,,GO:0005524; GO:0005737; GO:0005856,,,,PF00022;,cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524]
E9QBI7,CHOYP_LOC594646.2.2|m.38865,0,0,0,0,0,0,0,0,1.00E-80,"Metalloendopeptidase OMA1, mitochondrial (EC 3.4.24.-) (Overlapping with the m-AAA protease 1 homolog)",oma1 si:ch73-215a11.1,478,diet induced thermogenesis [GO:0002024]; energy homeostasis [GO:0097009]; glucose metabolic process [GO:0006006]; lipid metabolic process [GO:0006629]; misfolded or incompletely synthesized protein catabolic process [GO:0006515]; mitochondrial protein processing [GO:0034982]; negative regulation of mitochondrial fusion [GO:0010637]; response to stress [GO:0006950],GO:0002024; GO:0004222; GO:0005743; GO:0006006; GO:0006515; GO:0006629; GO:0006950; GO:0010637; GO:0016021; GO:0031966; GO:0034982; GO:0046872; GO:0097009,,,,PF01435;,integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; diet induced thermogenesis [GO:0002024]; energy homeostasis [GO:0097009]; glucose metabolic process [GO:0006006]; lipid metabolic process [GO:0006629]; misfolded or incompletely synthesized protein catabolic process [GO:0006515]; mitochondrial protein processing [GO:0034982]; negative regulation of mitochondrial fusion [GO:0010637]; response to stress [GO:0006950]
Q8IYS1,CHOYP_P20D2.2.2|m.47191,0.5,0,0,0,0,0,0,0,1.00E-137,Peptidase M20 domain-containing protein 2 (Aminoacylase-1-like protein 2),PM20D2 ACY1L2,436,proteolysis [GO:0006508]; regulation of cellular protein metabolic process [GO:0032268],GO:0005654; GO:0006508; GO:0016805; GO:0032268; GO:0070062,,,,PF07687;PF01546;,extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; dipeptidase activity [GO:0016805]; proteolysis [GO:0006508]; regulation of cellular protein metabolic process [GO:0032268]
Q8IY92,CHOYP_SLX4.1.1|m.278,0,0,0,0,0,0,0,0,1.00E-33,Structure-specific endonuclease subunit SLX4 (BTB/POZ domain-containing protein 12),SLX4 BTBD12 KIAA1784 KIAA1987,1834,DNA double-strand break processing involved in repair via single-strand annealing [GO:0010792]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; double-strand break repair via homologous recombination [GO:0000724]; interstrand cross-link repair [GO:0036297]; meiotic DNA double-strand break processing [GO:0000706]; negative regulation of telomere maintenance via telomere lengthening [GO:1904357]; nucleotide-excision repair [GO:0006289]; positive regulation of t-circle formation [GO:1904431]; resolution of meiotic recombination intermediates [GO:0000712]; response to intra-S DNA damage checkpoint signaling [GO:0072429]; t-circle formation [GO:0090656]; telomeric D-loop disassembly [GO:0061820],GO:0000706; GO:0000712; GO:0000724; GO:0000781; GO:0004520; GO:0005654; GO:0005829; GO:0006260; GO:0006281; GO:0006289; GO:0008047; GO:0010792; GO:0017108; GO:0030054; GO:0033557; GO:0036297; GO:0061820; GO:0072429; GO:0090656; GO:1904357; GO:1904431,,,,PF00651;PF09494;,"cell junction [GO:0030054]; chromosome, telomeric region [GO:0000781]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; Slx1-Slx4 complex [GO:0033557]; 5'-flap endonuclease activity [GO:0017108]; endodeoxyribonuclease activity [GO:0004520]; enzyme activator activity [GO:0008047]; DNA double-strand break processing involved in repair via single-strand annealing [GO:0010792]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; double-strand break repair via homologous recombination [GO:0000724]; interstrand cross-link repair [GO:0036297]; meiotic DNA double-strand break processing [GO:0000706]; negative regulation of telomere maintenance via telomere lengthening [GO:1904357]; nucleotide-excision repair [GO:0006289]; positive regulation of t-circle formation [GO:1904431]; resolution of meiotic recombination intermediates [GO:0000712]; response to intra-S DNA damage checkpoint signaling [GO:0072429]; t-circle formation [GO:0090656]; telomeric D-loop disassembly [GO:0061820]"
Q09654,CHOYP_TIF1A.5.8|m.32570,1,0,0,0,0,0,0,0,0.000002,E3 ubiquitin-protein ligase arc-1 (EC 2.3.2.27) (Putative GTP-binding protein trim-23 homolog) (RING-type E3 ubiquitin transferase arc-1),arc-1 arl-4 ZK1320.6,539,protein ubiquitination [GO:0016567]; small GTPase mediated signal transduction [GO:0007264],GO:0005525; GO:0005622; GO:0007264; GO:0008270; GO:0016567; GO:0016740,PATHWAY: Protein modification; protein ubiquitination.,,,PF00025;PF00643;PF13445;,intracellular [GO:0005622]; GTP binding [GO:0005525]; transferase activity [GO:0016740]; zinc ion binding [GO:0008270]; protein ubiquitination [GO:0016567]; small GTPase mediated signal transduction [GO:0007264]
Q6IP57,CHOYP_UBD2A.1.1|m.63050,0.5,0,0,0,0,0,0,0,2.00E-28,UBA-like domain-containing protein 2-A,ubald2-a fam100b-a,166,,,,,,,
Q9VR59,CHOYP_VIP2.1.1|m.54883,1.5,0,0,0,0,0,0,0,0,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (EC 2.7.4.21) (EC 2.7.4.24) (InsP6 and PP-IP5 kinase),l(1)G0196 CG14616,1696,inositol metabolic process [GO:0006020]; inositol phosphate biosynthetic process [GO:0032958],GO:0000827; GO:0000828; GO:0000829; GO:0000832; GO:0005524; GO:0005829; GO:0006020; GO:0032958; GO:0033857; GO:0052723; GO:0052724,,,cd07061;,PF00328;,"cytosol [GO:0005829]; ATP binding [GO:0005524]; diphosphoinositol-pentakisphosphate kinase activity [GO:0033857]; inositol heptakisphosphate kinase activity [GO:0000829]; inositol hexakisphosphate 1-kinase activity [GO:0052723]; inositol hexakisphosphate 3-kinase activity [GO:0052724]; inositol hexakisphosphate 5-kinase activity [GO:0000832]; inositol hexakisphosphate kinase activity [GO:0000828]; inositol-1,3,4,5,6-pentakisphosphate kinase activity [GO:0000827]; inositol metabolic process [GO:0006020]; inositol phosphate biosynthetic process [GO:0032958]"
Q92636,CHOYP_BRAFLDRAFT_100614.1.1|m.31700,0,0,0,0,0,0,0,0,0,Protein FAN (Factor associated with neutral sphingomyelinase activation) (Factor associated with N-SMase activation),NSMAF FAN,917,ceramide metabolic process [GO:0006672]; positive regulation of apoptotic process [GO:0043065]; positive regulation of ceramide biosynthetic process [GO:2000304]; signal transduction [GO:0007165],GO:0005057; GO:0005737; GO:0005829; GO:0006672; GO:0007165; GO:0016230; GO:0043065; GO:2000304,,,cd06071;,PF02138;PF02893;PF00400;,"cytoplasm [GO:0005737]; cytosol [GO:0005829]; signal transducer activity, downstream of receptor [GO:0005057]; sphingomyelin phosphodiesterase activator activity [GO:0016230]; ceramide metabolic process [GO:0006672]; positive regulation of apoptotic process [GO:0043065]; positive regulation of ceramide biosynthetic process [GO:2000304]; signal transduction [GO:0007165]"
Q39565,CHOYP_BRAFLDRAFT_108792.3.5|m.34514,16.5,0,0,0,0,0,0,0,7.00E-155,"Dynein beta chain, flagellar outer arm",ODA4 ODA-4 SUP1,4568,cell projection organization [GO:0030030]; microtubule-based movement [GO:0007018],GO:0003777; GO:0005524; GO:0005737; GO:0005874; GO:0007018; GO:0016887; GO:0030030; GO:0030286; GO:0031514,,,,PF07728;PF12780;PF08385;PF08393;PF03028;PF12777;,cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]; motile cilium [GO:0031514]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; microtubule motor activity [GO:0003777]; cell projection organization [GO:0030030]; microtubule-based movement [GO:0007018]
Q9BRS2,CHOYP_BRAFLDRAFT_124526.1.1|m.25228,0.5,0,0,0,0,0,0,0,0,Serine/threonine-protein kinase RIO1 (EC 2.7.11.1) (EC 3.6.3.-) (RIO kinase 1),RIOK1,568,maturation of SSU-rRNA [GO:0030490]; positive regulation of rRNA processing [GO:2000234]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364],GO:0004674; GO:0005524; GO:0005654; GO:0005829; GO:0006364; GO:0016787; GO:0030490; GO:0030688; GO:0042274; GO:0046872; GO:2000234,,,,,"cytosol [GO:0005829]; nucleoplasm [GO:0005654]; preribosome, small subunit precursor [GO:0030688]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; maturation of SSU-rRNA [GO:0030490]; positive regulation of rRNA processing [GO:2000234]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]"
Q7TQE6,CHOYP_BRAFLDRAFT_89952.1.1|m.59629,0,0,0,0,0,0,0,0,0,Macoilin (Brain-specific adapter protein C61) (Transmembrane protein 57),Tmem57,664,brain development [GO:0007420],GO:0005634; GO:0007420; GO:0016021; GO:0030424; GO:0031965; GO:0043005; GO:0044306; GO:0045202,,,,PF09726;,axon [GO:0030424]; integral component of membrane [GO:0016021]; neuron projection [GO:0043005]; neuron projection terminus [GO:0044306]; nuclear membrane [GO:0031965]; nucleus [GO:0005634]; synapse [GO:0045202]; brain development [GO:0007420]
G5ED84,CHOYP_DGRI_GH14766.1.1|m.27098,0,0,0,0,0,0,0,0,4.00E-11,Kelch-like protein 8,kel-8 W02G9.2,690,protein ubiquitination [GO:0016567]; protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0042787],GO:0014069; GO:0016567; GO:0030054; GO:0031463; GO:0042787; GO:0043005; GO:0043025,PATHWAY: Protein modification; protein ubiquitination.,,,PF07707;PF00651;PF01344;,cell junction [GO:0030054]; Cul3-RING ubiquitin ligase complex [GO:0031463]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; postsynaptic density [GO:0014069]; protein ubiquitination [GO:0016567]; protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0042787]
G5ED84,CHOYP_LOC100123307.1.1|m.13647,0,0,0,0,0,0,0,0,0.000002,Kelch-like protein 8,kel-8 W02G9.2,690,protein ubiquitination [GO:0016567]; protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0042787],GO:0014069; GO:0016567; GO:0030054; GO:0031463; GO:0042787; GO:0043005; GO:0043025,PATHWAY: Protein modification; protein ubiquitination.,,,PF07707;PF00651;PF01344;,cell junction [GO:0030054]; Cul3-RING ubiquitin ligase complex [GO:0031463]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; postsynaptic density [GO:0014069]; protein ubiquitination [GO:0016567]; protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0042787]
Q9UPT6,CHOYP_LOC100374908.1.1|m.51418,0,0,0,0,0,0,0,0,3.00E-70,C-Jun-amino-terminal kinase-interacting protein 3 (JIP-3) (JNK-interacting protein 3) (JNK MAP kinase scaffold protein 3) (Mitogen-activated protein kinase 8-interacting protein 3),MAPK8IP3 JIP3 KIAA1066,1336,activation of JUN kinase activity [GO:0007257]; axon guidance [GO:0007411]; forebrain development [GO:0030900]; in utero embryonic development [GO:0001701]; lung alveolus development [GO:0048286]; lung morphogenesis [GO:0060425]; positive regulation of neuron differentiation [GO:0045666]; post-embryonic development [GO:0009791]; protein localization [GO:0008104]; regulation of gene expression [GO:0010468]; regulation of JNK cascade [GO:0046328]; respiratory gaseous exchange [GO:0007585]; vesicle-mediated transport [GO:0016192],GO:0000139; GO:0001701; GO:0005078; GO:0005737; GO:0005790; GO:0007257; GO:0007411; GO:0007585; GO:0008104; GO:0008432; GO:0009791; GO:0010468; GO:0016192; GO:0019894; GO:0030159; GO:0030425; GO:0030673; GO:0030900; GO:0045666; GO:0046328; GO:0048286; GO:0060425,,,,PF16471;PF09744;,axolemma [GO:0030673]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; Golgi membrane [GO:0000139]; smooth endoplasmic reticulum [GO:0005790]; JUN kinase binding [GO:0008432]; kinesin binding [GO:0019894]; MAP-kinase scaffold activity [GO:0005078]; receptor signaling complex scaffold activity [GO:0030159]; activation of JUN kinase activity [GO:0007257]; axon guidance [GO:0007411]; forebrain development [GO:0030900]; in utero embryonic development [GO:0001701]; lung alveolus development [GO:0048286]; lung morphogenesis [GO:0060425]; positive regulation of neuron differentiation [GO:0045666]; post-embryonic development [GO:0009791]; protein localization [GO:0008104]; regulation of gene expression [GO:0010468]; regulation of JNK cascade [GO:0046328]; respiratory gaseous exchange [GO:0007585]; vesicle-mediated transport [GO:0016192]
O02228,CHOYP_LOC100375425.1.1|m.7316,0,0,0,0,0,0,0,0,1.00E-61,High-affinity choline transporter 1,cho-1 C48D1.3,576,acetylcholine biosynthetic process [GO:0008292]; choline transport [GO:0015871],GO:0005307; GO:0005887; GO:0008021; GO:0008292; GO:0015220; GO:0015871; GO:0030424; GO:0033265; GO:0043005; GO:0043025; GO:0045202,,,,PF00474;,axon [GO:0030424]; integral component of plasma membrane [GO:0005887]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; synapse [GO:0045202]; synaptic vesicle [GO:0008021]; choline binding [GO:0033265]; choline transmembrane transporter activity [GO:0015220]; choline:sodium symporter activity [GO:0005307]; acetylcholine biosynthetic process [GO:0008292]; choline transport [GO:0015871]
Q8WXW3,CHOYP_LOC100377791.1.1|m.4144,0,0,0,0,0,0,0,0,0,Progesterone-induced-blocking factor 1 (PIBF) (Centrosomal protein of 90 kDa) (CEP90),PIBF1 C13orf24 PIBF,757,activation of JAK1 kinase activity [GO:0010531]; immune system process [GO:0002376]; mitotic metaphase plate congression [GO:0007080]; mitotic spindle assembly [GO:0090307]; negative regulation of interleukin-12 production [GO:0032695]; negative regulation of natural killer cell activation [GO:0032815]; negative regulation of prostaglandin biosynthetic process [GO:0031393]; negative regulation of tyrosine phosphorylation of Stat4 protein [GO:0042521]; non-motile cilium assembly [GO:1905515]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of tyrosine phosphorylation of Stat6 protein [GO:0042526]; protein localization to centrosome [GO:0071539],GO:0002376; GO:0005136; GO:0005615; GO:0005634; GO:0005654; GO:0005813; GO:0005815; GO:0005829; GO:0007080; GO:0010531; GO:0031393; GO:0032695; GO:0032733; GO:0032815; GO:0034451; GO:0042521; GO:0042526; GO:0071539; GO:0090307; GO:1905515,,,,,centriolar satellite [GO:0034451]; centrosome [GO:0005813]; cytosol [GO:0005829]; extracellular space [GO:0005615]; microtubule organizing center [GO:0005815]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; interleukin-4 receptor binding [GO:0005136]; activation of JAK1 kinase activity [GO:0010531]; immune system process [GO:0002376]; mitotic metaphase plate congression [GO:0007080]; mitotic spindle assembly [GO:0090307]; negative regulation of interleukin-12 production [GO:0032695]; negative regulation of natural killer cell activation [GO:0032815]; negative regulation of prostaglandin biosynthetic process [GO:0031393]; negative regulation of tyrosine phosphorylation of Stat4 protein [GO:0042521]; non-motile cilium assembly [GO:1905515]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of tyrosine phosphorylation of Stat6 protein [GO:0042526]; protein localization to centrosome [GO:0071539]
Q8IX29,CHOYP_LOC100486001.1.1|m.6209,1,0,0,0,0,0,0,0,2.00E-68,F-box only protein 16,FBXO16 FBX16,292,,,,,,PF12937;,
A0A0R4IBK5,CHOYP_LOC100537840.1.1|m.55651,0,0,0,0,0,0,0,0,6.00E-11,E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha),rnf213a,5209,sprouting angiogenesis [GO:0002040],GO:0002040; GO:0004842; GO:0005829; GO:0008270; GO:0016887,PATHWAY: Protein modification; protein ubiquitination. {ECO:0000250|UniProtKB:Q63HN8}.,,,,cytosol [GO:0005829]; ATPase activity [GO:0016887]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; sprouting angiogenesis [GO:0002040]
G5ED84,CHOYP_LOC100698240.2.4|m.14964,0,0,0,0,0,0,0,0,4.00E-11,Kelch-like protein 8,kel-8 W02G9.2,690,protein ubiquitination [GO:0016567]; protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0042787],GO:0014069; GO:0016567; GO:0030054; GO:0031463; GO:0042787; GO:0043005; GO:0043025,PATHWAY: Protein modification; protein ubiquitination.,,,PF07707;PF00651;PF01344;,cell junction [GO:0030054]; Cul3-RING ubiquitin ligase complex [GO:0031463]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; postsynaptic density [GO:0014069]; protein ubiquitination [GO:0016567]; protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0042787]
Q99M80,CHOYP_LOC101384981.1.1|m.53468,0,0,0,0,0,0,0,0,8.00E-65,Receptor-type tyrosine-protein phosphatase T (R-PTP-T) (EC 3.1.3.48) (RPTPmam4) (Receptor-type tyrosine-protein phosphatase rho) (RPTP-rho) (mRPTPrho),Ptprt,1454,homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; protein dephosphorylation [GO:0006470]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169],GO:0004725; GO:0005886; GO:0006470; GO:0007156; GO:0007169; GO:0008013; GO:0009986; GO:0016021; GO:0016790; GO:0045294; GO:0045295; GO:0045296; GO:0051393; GO:0070097,,,cd00063;cd06263;,PF00041;PF00629;PF00102;,cell surface [GO:0009986]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; alpha-actinin binding [GO:0051393]; alpha-catenin binding [GO:0045294]; beta-catenin binding [GO:0008013]; cadherin binding [GO:0045296]; delta-catenin binding [GO:0070097]; gamma-catenin binding [GO:0045295]; protein tyrosine phosphatase activity [GO:0004725]; thiolester hydrolase activity [GO:0016790]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; protein dephosphorylation [GO:0006470]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]
